Player Name,Team,Position,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,PF,TO,+/-,DD,TD,POTG,PER,TS%,EFG%
Jalen King,Atlanta Talons,G,13,31,31,20.5,11.5,4.2,11.3,37.1,1.5,4.4,35.6,1.6,1.8,90.9,3.5,0.9,12.1,1.4,0.7,0.5,1.3,1.3,18,0,12,36.6,47.8,44.0
William Harris,Atlanta Talons,GF,9,31,31,16.1,19.8,8.5,12.6,67.5,1.7,3.5,48.6,1.1,1.2,97.2,2.7,0.5,0.1,0.4,0.5,0.6,0.9,-0.6,0,0,3,46.5,75.6,74.2
Mitchell Hammond,Atlanta Talons,F,R,13,0,2.1,0.7,0.3,1.3,23.5,0.1,0.3,25.0,0.0,0.0,-,0.2,0.0,0.0,0.2,0.1,0.0,0.1,-0.6,0,0,0,0.3,26.5,26.5
Jimmie Shepherd,Atlanta Talons,F,R,13,0,2.1,1.2,0.6,0.9,66.7,0.0,0.1,0.0,0.0,0.0,-,0.4,0.1,0.0,0.0,0.1,0.0,0.1,-0.8,0,0,0,22.4,66.7,66.7
Gary Green,Atlanta Talons,FC,6,31,31,14.8,7.7,3.5,7.1,50.0,0.2,0.6,33.3,0.5,0.9,51.9,5.5,1.6,2.1,0.5,0.8,0.5,0.4,-2.6,0,0,0,27.8,51.8,51.4
Ron Mathews,Atlanta Talons,F,8,31,29,14.8,7.6,3.5,7.7,45.4,0.3,1.7,15.4,0.4,0.6,57.9,6.3,1.0,4.3,0.7,1.1,0.6,0.7,-1.9,2,0,1,31.1,47.7,47.1
Horace Allen,Atlanta Talons,C,12,31,0,9.2,6.5,3.0,4.8,62.8,0.1,0.5,23.5,0.3,0.5,58.8,4.1,0.7,1.5,0.3,0.8,0.4,0.4,3.0,0,0,0,38.2,64.3,64.2
Jon Rahm,Atlanta Talons,G,17,31,0,11.3,7.7,3.0,5.6,53.4,1.1,2.1,50.0,0.6,0.6,100,1.1,0.1,4.7,0.5,0.1,0.4,0.4,2.3,0,0,1,37.4,65.4,62.9
Bart Jett,Atlanta Talons,C,13,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
De’Aaron Jackson,Atlanta Talons,F,12,31,7,12.2,12.5,5.3,7.9,66.7,1.2,2.1,54.5,0.7,0.7,100,3.5,0.6,0.1,0.4,0.3,0.7,0.8,0.7,0,0,0,39.9,75.5,74.0
Ed Brady,Atlanta Talons,F,1,31,0,5.9,1.7,0.8,2.5,31.6,0.0,0.5,5.9,0.1,0.2,42.9,2.3,0.5,1.6,0.3,0.3,0.1,0.1,2.2,0,0,0,20.8,32.9,32.2
