Player Name,Team,Position,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,PF,TO,+/-,DD,TD,POTG,PER,TS%,EFG%
Jalen King,Atlanta Talons,G,10,31,31,14.2,9.0,3.5,7.4,47.4,1.2,2.7,43.4,0.9,0.9,100,2.5,0.4,8.1,0.9,0.4,0.5,0.9,0.3,7,0,2,40.7,58.3,55.3
William Harris,Atlanta Talons,GF,6,31,31,14.5,16.6,7.3,10.5,69.3,1.3,2.5,50.6,0.7,0.8,92.0,2.6,0.3,0.3,0.7,0.4,0.4,1.1,0.6,0,0,1,44.4,76.4,75.5
Ron Mathews,Atlanta Talons,F,5,31,19,14.5,7.1,3.2,7.0,46.1,0.4,1.5,24.4,0.3,0.5,56.3,5.1,1.1,5.6,0.6,1.3,0.4,0.4,3.0,0,0,4,35.4,49.1,48.6
De’Aaron Jackson,Atlanta Talons,F,9,31,28,14.9,14.0,5.9,9.9,59.9,1.3,2.7,48.2,0.8,0.8,100,3.1,0.6,0.1,0.3,0.2,0.6,0.5,1.8,0,0,2,34.1,68.1,66.4
Horace Allen,Atlanta Talons,C,9,31,31,15.2,8.0,3.8,7.3,52.0,0.1,0.9,7.4,0.3,0.6,52.6,4.9,0.8,3.2,0.4,1.8,0.5,0.7,0.1,1,0,0,29.9,52.7,52.4
Caleb White,Atlanta Talons,F,8,31,12,16.8,16.3,7.9,12.4,63.7,0.3,1.5,16.7,0.3,0.5,60.0,6.9,1.7,2.4,1.0,1.2,0.6,0.9,0.9,4,0,10,47.2,64.8,64.8
Jon Rahm,Atlanta Talons,G,14,31,3,9.6,6.9,2.8,4.6,60.4,0.7,1.6,42.9,0.6,0.6,100,1.1,0.3,5.3,0.6,0.2,0.4,0.4,2.4,0,0,1,46.7,70.2,67.7
Bart Jett,Atlanta Talons,C,10,26,0,8.9,5.3,2.5,4.7,52.8,0.2,0.7,26.3,0.1,0.2,50.0,3.5,0.8,1.0,0.3,0.9,0.2,0.5,3.1,0,0,0,29.8,54.9,54.9
Elijah Roy Jr.,Atlanta Talons,SG,4,5,0,9.1,9.4,4.2,6.8,61.8,0.8,1.4,57.1,0.2,0.2,100,1.4,0.2,0.0,0.2,0.8,0.2,0.6,1.0,0,0,0,37.6,68.2,67.6
Ross Harrington,Atlanta Talons,G,1,29,0,9.8,6.0,2.4,4.9,49.7,0.7,1.5,47.7,0.4,0.5,78.6,2.0,0.1,1.1,0.6,0.6,0.3,0.3,2.1,0,0,0,27.4,58.3,57.0
Ben Olsen,Atlanta Talons,GF,1,10,0,1.5,0.7,0.3,0.5,60.0,0.0,0.1,0.0,0.1,0.2,50.0,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0,0,0,23.1,59.5,60.0
Tyrone Combs,Atlanta Talons,F,R,9,0,5.0,3.0,1.4,2.2,65.0,0.1,0.3,33.3,0.0,0.0,-,0.6,0.2,0.0,0.0,0.1,0.2,0.0,-0.6,0,0,0,22.5,67.5,67.5
Brandon Heath,Atlanta Talons,G,2,6,0,1.3,0.5,0.2,0.3,50.0,0.2,0.3,50.0,0.0,0.0,-,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.3,0,0,0,23.8,75.0,75.0
Stefan Hofer,Atlanta Talons,PG,1,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Dwight Green,Atlanta Talons,GF,2,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Carl Joseph,Boston Charms,PG,14,31,31,15.8,16.6,6.6,9.0,73.7,2.4,3.2,73.0,1.0,1.0,96.9,4.1,0.6,9.3,1.4,0.6,0.2,1.2,3.4,12,0,9,68.0,88.0,86.9
Jordan Covington,Boston Charms,G,11,31,31,20.3,26.7,11.7,17.1,68.2,2.8,5.0,56.1,0.5,0.5,100,2.6,0.7,0.5,0.5,0.5,0.5,1.7,6.6,0,0,9,48.0,76.9,76.4
Luther Allen,Boston Charms,SF,R,14,0,1.6,0.1,0.1,0.5,14.3,0.0,0.1,0.0,0.0,0.0,-,0.6,0.0,0.1,0.1,0.1,0.1,0.0,0.6,0,0,0,7.6,14.3,14.3
Timothy Miller,Boston Charms,PF,R,23,0,2.3,1.4,0.7,1.2,55.6,0.0,0.1,50.0,0.0,0.2,25.0,0.7,0.0,0.2,0.0,0.2,0.2,0.1,-0.7,0,0,0,21.8,55.6,57.4
Tanner Ross,Boston Charms,FC,3,31,9,13.6,6.5,3.2,6.5,49.5,0.1,0.9,14.3,0.0,0.1,25.0,3.3,0.8,1.1,0.5,0.8,0.4,0.4,3.5,0,0,1,21.1,50.3,50.5
Chris Washington,Boston Charms,FC,5,26,26,12.6,7.4,3.5,6.6,53.2,0.1,0.7,16.7,0.3,0.3,77.8,5.6,1.0,2.4,0.3,0.8,0.3,0.4,4.3,2,0,0,32.7,54.9,54.1
W.R Asher,Boston Charms,F,11,31,0,11.9,6.6,2.7,5.9,46.2,0.9,2.1,44.6,0.2,0.2,100,4.0,0.7,1.2,0.5,0.6,0.1,0.5,5.4,0,0,0,26.0,55.1,54.1
Jalen Hensley,Boston Charms,F,6,31,31,14.0,10.4,4.4,8.1,54.8,0.7,2.4,29.7,0.9,0.9,96.4,3.3,0.9,5.1,0.5,0.7,0.3,0.8,2.1,0,0,1,40.4,61.6,59.2
Hawk Rosario,Boston Charms,G,12,31,0,12.0,6.6,2.7,5.6,48.0,0.7,1.9,38.3,0.5,0.5,100,3.4,0.5,2.6,0.5,0.5,0.4,0.6,1.8,0,0,0,28.2,56.7,54.6
Pres Manu,Boston Charms,F,11,17,0,2.8,1.5,0.6,1.8,36.7,0.2,0.4,42.9,0.0,0.0,-,0.7,0.2,0.2,0.0,0.1,0.0,0.1,1.5,0,0,0,16.0,41.7,41.7
Tanner Smith,Boston Charms,SF,7,19,0,9.3,4.5,1.8,4.2,43.8,0.6,1.7,34.4,0.3,0.3,83.3,2.6,0.1,0.1,0.8,0.7,0.2,0.3,1.8,0,0,0,21.7,52.0,50.6
Elijah Rose,Boston Charms,C,11,31,27,11.9,9.3,4.0,7.2,55.8,0.9,2.3,38.0,0.4,0.6,63.2,3.5,0.5,0.5,0.5,0.6,0.3,0.5,2.1,0,0,0,32.4,62.2,61.8
Curtis Little,Boston Charms,F,1,5,0,3.1,0.4,0.2,1.0,20.0,0.0,0.0,-,0.0,0.0,-,0.2,0.2,0.0,0.4,0.0,0.0,0.0,-4.2,0,0,0,4.9,20.0,20.0
Leonard Davenport,Brooklyn Ballers,G,9,31,0,9.7,6.5,2.7,6.2,44.3,0.4,1.4,31.0,0.6,0.8,73.1,2.4,0.3,2.0,0.5,0.4,0.1,0.6,-1.3,0,0,0,26.7,49.6,47.7
Xavier Edwards II,Brooklyn Ballers,G,6,31,31,14.3,14.7,6.3,10.0,63.2,1.3,2.4,54.1,0.7,0.7,100,4.1,0.6,3.1,0.8,1.0,0.5,0.5,2.9,0,0,10,51.0,71.1,69.7
Dustin Kelly,Brooklyn Ballers,GF,6,31,0,11.4,10.8,4.6,8.2,55.9,1.3,2.6,50.0,0.4,0.5,85.7,2.5,0.7,2.2,0.5,0.3,0.4,0.7,-1.8,0,0,1,40.4,64.6,63.8
Arnold Norman,Brooklyn Ballers,F,11,31,0,11.8,5.9,2.6,6.3,41.2,0.5,1.7,31.5,0.2,0.3,55.6,3.7,0.9,0.8,0.5,0.7,0.3,0.7,-2.1,0,0,0,19.5,46.0,45.6
Christopher Morgan,Brooklyn Ballers,C,14,31,0,10.9,5.4,2.5,4.4,58.5,0.1,0.6,21.1,0.1,0.3,44.4,4.4,0.9,3.1,0.5,0.5,0.3,0.2,-1.8,0,0,0,34.4,59.7,60.0
Julius Newton,Brooklyn Ballers,C,7,31,31,13.1,7.3,3.5,6.1,56.3,0.2,0.6,25.0,0.2,0.4,50.0,4.7,1.0,4.2,0.6,0.6,0.4,0.5,3.8,0,0,2,35.5,57.6,57.6
Jeffrey Carr,Brooklyn Ballers,F,14,31,31,10.9,6.2,2.7,5.5,49.1,0.4,1.3,28.2,0.5,0.5,100,2.7,0.3,1.4,0.4,0.4,0.2,0.2,4.7,0,0,0,25.2,54.5,52.3
Romain Parker Jr.,Brooklyn Ballers,F,11,31,0,11.3,8.0,3.5,7.4,47.4,0.5,1.4,34.1,0.5,0.7,66.7,1.7,0.4,0.0,0.6,0.6,0.4,0.5,-1.2,0,0,0,21.9,51.6,50.7
Lamar Rose,Brooklyn Ballers,G,8,31,31,13.4,10.6,4.6,8.4,54.8,0.9,2.2,40.3,0.6,0.8,76.0,3.1,0.8,6.1,0.6,0.6,0.3,0.9,3.6,2,0,2,44.7,61.1,60.0
Andrew Chambers,Brooklyn Ballers,FC,1,7,0,1.2,0.9,0.4,0.7,60.0,0.0,0.0,-,0.0,0.0,-,0.4,0.0,0.3,0.0,0.1,0.0,0.0,0.4,0,0,0,39.8,60.0,60.0
Chad Gibbs,Brooklyn Ballers,PF,R,5,0,1.4,0.4,0.2,0.4,50.0,0.0,0.0,-,0.0,0.4,0.0,1.0,0.4,0.2,0.0,0.0,0.0,0.0,-4.0,0,0,0,24.0,34.7,50.0
Jakorian Pittman,Brooklyn Ballers,GF,5,31,31,12.7,11.4,4.9,7.8,63.1,1.2,2.2,52.9,0.4,0.4,100,2.8,0.6,0.7,0.6,0.8,0.3,0.4,4.2,0,0,2,39.4,71.5,70.5
Harvey Glover,Brooklyn Ballers,G,2,6,0,1.2,0.5,0.2,0.5,33.3,0.2,0.2,100,0.0,0.0,-,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0,0,0,20.8,50.0,50.0
Joe Robbins,Brooklyn Ballers,G,2,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Ronnie Gregory,Brooklyn Ballers,GF,R,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Darnell Knight,Charlotte Stingers,PG,4,31,31,11.1,6.7,2.9,5.3,53.9,0.7,1.5,43.8,0.3,0.3,90.0,1.4,0.3,7.8,0.5,0.2,0.3,0.7,3.7,2,0,0,43.7,61.4,60.3
Landon Curry,Charlotte Stingers,G,8,31,31,16.2,23.3,10.2,13.0,78.0,2.4,3.5,69.2,0.6,0.6,100,2.3,0.5,0.5,0.4,0.5,0.7,1.3,7.9,0,0,15,57.6,87.6,87.1
Jared Stephens,Charlotte Stingers,GF,7,31,31,12.4,11.0,4.5,7.3,61.3,1.2,2.1,57.6,0.9,0.9,100,2.6,0.2,0.2,0.5,0.4,0.4,0.4,6.4,0,0,0,35.5,72.0,69.8
Joe Maxwell,Charlotte Stingers,FC,7,31,31,14.1,8.1,3.7,7.4,49.8,0.3,1.2,26.3,0.4,0.5,75.0,5.7,1.3,2.8,0.9,1.3,0.5,0.5,5.4,1,0,0,33.8,53.0,52.0
Brandon Cooper,Charlotte Stingers,C,6,27,27,14.3,11.7,5.7,7.3,78.7,0.1,0.4,27.3,0.1,0.4,33.3,6.4,0.8,1.9,0.5,1.8,0.4,0.5,9.2,4,0,4,47.4,78.4,79.4
Ted Washington,Charlotte Stingers,SF,5,31,0,12.2,11.4,4.5,8.2,55.7,1.1,2.5,44.9,1.2,1.2,97.4,3.5,0.3,2.7,0.4,0.4,0.3,0.7,4.0,0,0,2,42.0,65.6,62.6
Nicholas Ward,Charlotte Stingers,FC,7,31,4,10.2,6.5,3.1,5.7,53.7,0.2,0.5,29.4,0.2,0.4,63.6,3.7,1.2,0.9,0.3,1.0,0.2,0.2,2.1,0,0,0,32.8,55.5,55.1
Stanley Lowe,Charlotte Stingers,PG,7,31,0,11.0,6.6,2.8,5.8,48.0,0.7,1.7,40.4,0.4,0.6,72.2,2.8,0.4,2.8,0.6,0.5,0.3,0.6,4.6,0,0,0,30.2,55.1,53.9
Quinley Dickerson,Charlotte Stingers,GF,5,31,0,8.4,6.0,2.6,5.0,52.6,0.5,1.4,33.3,0.3,0.3,100,2.5,0.6,0.3,0.6,0.7,0.3,0.3,2.7,0,0,0,32.3,58.3,57.1
Adam Roberts,Charlotte Stingers,F,15,31,0,9.1,4.7,2.0,4.2,47.7,0.3,0.9,28.6,0.5,0.5,82.4,1.7,0.5,0.1,0.2,0.2,0.3,0.5,3.2,0,0,0,16.4,53.1,50.8
Randall Armstrong,Charlotte Stingers,FC,1,18,0,3.5,1.4,0.7,1.3,56.5,0.0,0.1,0.0,0.0,0.0,-,1.6,0.4,1.1,0.2,0.1,0.2,0.1,2.8,0,0,0,33.8,56.5,56.5
Antonio Gordon,Charlotte Stingers,G,2,15,0,1.8,1.5,0.6,0.9,69.2,0.2,0.3,60.0,0.1,0.1,100,0.3,0.1,0.9,0.1,0.0,0.1,0.1,2.3,0,0,0,51.8,82.9,80.8
John Norman,Charlotte Stingers,FC,1,1,0,1.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0,0,0,0.0,0.0,0.0
Nathan Kelly,Charlotte Stingers,G,R,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Todd Tucker,Charlotte Stingers,PG,2,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Michael Morrow,Chicago Blues,G,7,31,27,12.8,7.9,3.5,6.9,50.2,0.5,1.4,34.1,0.5,0.7,76.2,1.9,0.5,6.0,0.7,0.2,0.2,0.7,2.1,1,0,1,36.4,55.1,53.8
Adrian Burnett,Chicago Blues,G,1,11,0,1.4,1.4,0.5,1.2,46.2,0.3,0.4,75.0,0.0,0.0,-,0.3,0.1,0.5,0.0,0.0,0.0,0.1,0.4,0,0,0,39.9,57.7,57.7
Leo Perkins,Chicago Blues,F,1,31,0,10.7,5.7,2.5,5.7,43.3,0.4,1.6,24.0,0.4,0.6,66.7,3.4,0.7,1.3,0.5,0.5,0.5,0.5,-1.3,0,0,0,22.4,47.9,46.6
Jay Greene,Chicago Blues,PF,R,11,0,1.4,0.7,0.4,0.5,66.7,0.0,0.0,-,0.0,0.1,0.0,0.5,0.1,0.0,0.1,0.0,0.1,0.0,0.4,0,0,0,24.5,62.1,66.7
Mathew Adams,Chicago Blues,FC,6,31,31,14.8,14.3,6.6,9.9,66.7,0.5,1.5,37.8,0.5,0.6,85.0,4.8,1.2,1.0,0.5,0.6,0.5,0.8,2.6,0,0,4,42.4,70.2,69.4
Emmius One,Chicago Blues,G,10,31,31,14.3,9.6,3.8,7.4,51.7,1.4,2.6,51.2,0.6,0.6,100,3.1,0.4,6.0,1.8,0.6,0.4,0.6,2.5,0,0,7,44.5,62.7,60.9
Renn Alex,Chicago Blues,G,10,31,4,11.4,5.5,2.2,5.0,43.6,0.5,1.5,37.8,0.5,0.6,94.4,3.0,0.7,4.8,0.6,0.5,0.4,0.4,-1.3,0,0,0,34.1,51.9,49.0
Bobby Brown,Chicago Blues,C,10,31,0,9.3,8.8,4.1,5.9,69.0,0.4,0.8,46.2,0.3,0.5,53.3,2.6,0.5,0.1,0.2,0.3,0.3,0.5,-1.7,0,0,0,38.0,71.9,72.3
James Ridge,Chicago Blues,F,10,31,0,9.5,7.1,2.9,6.0,47.8,0.8,2.0,41.9,0.5,0.6,88.9,2.4,0.6,1.0,0.3,0.3,0.3,0.3,-1.6,0,0,0,30.2,56.7,54.8
Benji Phillips,Chicago Blues,G,13,31,0,9.3,7.1,3.0,5.8,51.9,0.6,1.6,39.2,0.4,0.4,100,2.1,0.5,0.5,0.3,0.4,0.5,0.8,-1.7,0,0,0,26.2,59.2,57.5
Samuel James,Chicago Blues,F,11,31,31,14.3,15.9,6.8,10.1,67.9,1.7,3.1,54.7,0.5,0.5,100,3.3,0.5,0.8,0.6,0.7,0.3,0.8,2.5,0,0,6,46.8,77.1,76.3
Nick Obrien,Chicago Blues,PF,5,31,31,13.3,6.1,2.8,6.2,46.1,0.2,1.0,18.8,0.3,0.4,72.7,4.5,0.8,0.9,0.4,1.6,0.5,0.5,2.0,0,0,0,22.5,48.5,47.6
Robin Gibbs,Chicago Blues,FC,2,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Alfred Cole,Chicago Blues,FC,2,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Clinton Larson,Chicago Blues,FC,R,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Eddie Ford,Cleveland Gladiators,G,7,31,31,12.8,10.2,4.3,8.0,53.8,1.1,2.2,47.8,0.5,0.7,66.7,2.7,0.7,6.0,0.8,0.3,0.4,0.8,-1.9,1,0,3,44.1,61.0,60.4
Zay Kyten,Cleveland Gladiators,G,10,31,22,13.6,9.5,3.7,8.4,44.4,1.4,3.4,40.0,0.6,0.7,90.5,2.4,0.3,6.9,0.6,0.5,0.5,1.1,-2.9,3,0,3,36.9,54.2,52.5
Kobie Hunt,Cleveland Gladiators,GF,6,31,31,14.3,15.9,7.0,10.3,67.5,1.4,2.4,57.3,0.6,0.6,100,3.0,0.5,1.5,0.5,0.6,0.4,0.7,0.2,0,0,6,47.5,75.2,74.2
TJ Marshall,Cleveland Gladiators,F,10,31,31,11.3,8.1,3.2,6.4,50.3,1.1,2.0,54.0,0.6,0.6,100,2.7,0.4,0.8,0.5,0.5,0.3,0.5,-1.5,0,0,1,29.1,61.1,58.9
Tylan Greene,Cleveland Gladiators,C,6,31,31,12.3,7.3,3.4,5.6,60.0,0.2,0.8,28.0,0.3,0.4,61.5,5.3,1.0,1.9,0.6,0.9,0.4,0.5,-0.7,0,0,2,35.0,62.3,62.0
Rlo Joe,Cleveland Gladiators,G,8,31,9,11.6,11.3,4.6,8.1,56.7,1.4,2.5,54.4,0.7,0.7,100,1.8,0.5,0.6,0.2,0.3,0.4,0.6,-0.7,0,0,0,35.2,67.1,65.3
