Player Name,Team,Position,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,PF,TO,+/-,DD,TD,POTG,PER,TS%,EFG%
Shane Goodwin,Atlanta Talons,PG,4,26,26,15.2,18.7,8.1,10.8,74.5,1.8,3.2,56.0,0.7,0.8,86.4,1.7,0.2,5.2,1.0,0.3,0.5,0.7,7.2,0,0,7,61.7,83.3,82.8
Jalen King,Atlanta Talons,G,19,31,31,15.1,8.5,3.4,8.3,41.2,1.1,3.1,34.7,0.6,0.6,100,3.1,0.6,8.8,1.0,1.0,0.3,0.6,4.4,5,0,1,40.4,49.8,47.7
Kobie Hunt,Atlanta Talons,GF,15,31,31,17.6,22.5,9.7,12.2,79.6,2.1,3.0,71.7,1.0,1.0,100,3.8,0.9,1.5,0.8,1.1,0.8,1.0,7.4,0,0,13,58.8,89.2,88.3
Tyrell Morgan,Atlanta Talons,F,3,31,29,14.1,8.0,3.5,7.4,47.2,0.5,1.9,27.6,0.5,0.9,55.6,5.6,0.8,2.4,0.7,1.0,0.2,0.6,5.6,1,0,0,29.4,51.3,50.7
Dean Tucker,Atlanta Talons,FC,3,31,31,15.0,7.4,3.6,6.9,51.9,0.1,0.9,7.4,0.1,0.3,44.4,6.2,1.3,2.6,0.4,1.3,0.5,0.7,5.5,2,0,0,28.3,52.3,52.3
Gary Green,Atlanta Talons,FC,12,31,0,9.9,5.4,2.5,5.0,50.3,0.2,0.6,26.3,0.2,0.3,70.0,4.9,1.4,2.5,0.4,0.5,0.2,0.3,-0.6,0,0,0,35.2,52.7,51.9
Mitchell Hammond,Atlanta Talons,F,6,31,7,10.4,6.0,2.7,6.1,43.7,0.2,1.2,16.2,0.4,0.4,100,2.9,0.7,0.2,0.3,0.5,0.5,0.5,-0.6,0,0,0,18.6,47.3,45.3
Nathaniel Smith,Atlanta Talons,SG,14,31,0,10.0,7.6,3.2,5.9,53.8,0.6,1.7,37.7,0.6,0.6,100,2.0,0.2,0.3,0.5,0.5,0.3,0.6,1.1,0,0,1,28.7,61.7,59.3
Gregory Miller,Atlanta Talons,PG,2,31,0,5.8,3.7,1.6,3.4,48.6,0.1,0.7,18.2,0.3,0.4,66.7,0.6,0.2,1.4,0.4,0.1,0.2,0.4,-0.3,0,0,0,26.6,51.7,50.5
De’Aaron Jackson,Atlanta Talons,F,18,31,0,7.5,5.4,2.4,4.7,50.7,0.4,1.2,34.2,0.2,0.2,85.7,1.5,0.4,0.0,0.1,0.2,0.4,0.3,-1.6,0,0,0,22.0,56.0,55.1
Horace Allen,Atlanta Talons,C,18,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Kurt Holt,Atlanta Talons,GF,R,21,0,2.5,1.9,0.8,1.4,56.7,0.1,0.4,33.3,0.1,0.2,60.0,0.2,0.0,0.0,0.0,0.1,0.1,0.1,-0.1,0,0,0,23.3,62.1,61.7
Shane Daniels,Atlanta Talons,SF,1,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Stanley Pope,Atlanta Talons,G,R,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Darrell Drake,Atlanta Talons,F,2,2,0,2.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0,0,0,7.4,0.0,0.0
Edgar Frazier,Boston Charms,G,4,31,0,9.4,7.1,3.1,5.9,52.2,0.5,1.5,29.2,0.4,0.5,86.7,1.9,0.2,0.6,0.6,0.5,0.4,0.5,2.1,0,0,0,28.6,57.5,56.0
Milton Roberson,Boston Charms,GF,14,31,31,13.2,10.9,4.4,8.2,53.3,1.3,3.0,42.4,0.8,0.8,100,3.7,0.6,0.6,0.6,0.5,0.5,0.5,-1.0,0,0,0,33.2,63.2,61.0
Michael Yates,Boston Charms,F,1,28,0,11.1,6.4,2.9,6.3,45.7,0.4,1.5,27.9,0.3,0.5,57.1,4.8,0.9,0.6,0.2,1.0,0.5,0.5,3.0,0,0,0,24.9,49.7,49.1
Mike McKinney,Boston Charms,F,R,13,0,3.4,1.3,0.6,1.2,53.3,0.0,0.2,0.0,0.1,0.1,100,1.3,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0,0,0,23.3,55.1,53.3
Zacharius Casper,Boston Charms,C,6,31,31,14.5,12.4,5.7,9.5,59.5,0.5,2.0,22.2,0.6,0.9,66.7,7.2,2.0,2.6,1.0,1.1,0.5,0.8,-2.1,7,0,4,46.7,62.4,61.8
Alijah Carter,Boston Charms,SG,6,31,7,12.3,10.0,4.3,7.9,54.5,0.7,1.9,35.6,0.6,0.6,100,2.8,0.5,0.9,1.0,0.4,0.3,0.7,1.4,0,0,2,32.9,60.6,58.7
Ivan Chandler,Boston Charms,G,5,31,24,15.1,10.7,4.4,8.7,50.7,1.2,3.0,39.1,0.7,1.0,71.9,3.6,0.6,8.7,1.1,0.5,0.7,0.8,-2.5,8,0,2,45.8,58.6,57.4
Jalen Hensley,Boston Charms,F,15,31,31,15.3,13.2,5.7,11.3,50.7,0.9,2.5,37.2,0.7,0.8,95.8,4.9,1.4,4.9,0.9,1.1,0.7,1.2,-2.7,0,0,8,42.3,56.4,54.8
Jordan Covington,Boston Charms,G,20,31,31,11.0,11.1,4.7,7.8,59.7,1.1,2.3,46.5,0.6,0.6,100,1.6,0.6,0.1,0.2,0.3,0.4,1.1,-3.0,0,0,1,33.1,68.1,66.5
Dwight Roy,Boston Charms,C,7,31,0,9.5,7.9,3.7,6.7,54.8,0.2,0.7,31.8,0.3,0.4,83.3,4.6,1.1,1.7,0.3,0.6,0.5,0.6,1.2,0,0,1,39.5,57.4,56.5
Tanner Smith,Boston Charms,SF,16,31,0,8.2,3.7,1.5,4.1,37.5,0.3,1.3,24.4,0.3,0.3,100,1.4,0.1,0.0,0.4,0.5,0.3,0.2,-0.7,0,0,0,13.0,43.3,41.4
Matthew Miller,Boston Charms,PF,2,3,0,1.0,2.0,1.0,1.3,75.0,0.0,0.0,-,0.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0,0,0,88.5,67.6,75.0
Jerome Reynolds,Boston Charms,PG,1,2,0,1.9,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,-,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,22.7,33.3,33.3
Jakai Bacon,Boston Charms,SG,2,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Wallace Lambert,Boston Charms,SG,R,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Allan McGuire,Brooklyn Ballers,G,13,31,28,11.7,8.7,3.6,7.5,48.1,1.0,2.3,44.4,0.5,0.5,100,2.1,0.4,1.3,0.9,0.7,0.3,0.4,-1.1,0,0,1,31.7,56.6,54.9
Antonio Phelps,Brooklyn Ballers,GF,9,31,31,15.0,10.6,4.2,9.3,45.6,0.9,2.6,34.1,1.3,1.3,100,3.2,0.4,2.1,0.8,0.6,0.4,0.7,-3.2,0,0,2,28.1,54.1,50.5
Jaxon Moreau,Brooklyn Ballers,GF,6,31,31,12.1,11.0,4.7,8.3,56.6,1.0,2.4,43.2,0.6,0.6,100,2.6,0.6,0.4,0.7,0.4,0.4,0.7,-2.6,0,0,0,34.7,64.4,62.9
Chad Gibbs,Brooklyn Ballers,PF,9,31,18,12.8,8.1,4.0,7.5,52.8,0.1,0.9,7.1,0.1,0.4,30.8,5.4,1.2,1.7,0.2,1.6,0.3,0.5,-2.9,1,0,2,32.5,52.8,53.2
