Player Name,Team,Position,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,PF,TO,+/-,DD,TD,POTG,PER,TS%,EFG%
Jalen King,Atlanta Talons,G,15,31,31,15.3,7.0,2.7,6.6,40.5,0.8,2.5,32.9,0.8,0.8,100,3.4,0.6,10.4,0.7,0.7,0.3,0.8,-3.7,3,0,5,39.4,50.0,46.6
Nathaniel Smith,Atlanta Talons,SG,10,31,21,15.9,12.8,5.6,9.9,56.4,1.1,2.6,40.2,0.5,0.5,100,2.6,0.3,0.4,1.3,0.8,0.3,1.1,-1.6,0,0,2,30.6,63.0,61.7
William Harris,Atlanta Talons,GF,11,31,31,15.1,16.2,6.7,10.5,64.3,1.4,3.3,42.2,1.3,1.3,97.6,2.5,0.7,0.2,0.7,0.3,0.3,0.7,-3.4,0,0,1,41.6,73.0,70.9
De’Aaron Jackson,Atlanta Talons,F,14,31,31,14.6,14.6,6.2,10.5,59.1,1.3,2.9,44.0,0.9,0.9,100,3.3,0.5,0.2,0.3,0.6,0.3,0.7,-3.6,0,0,2,37.1,67.1,65.2
Gary Green,Atlanta Talons,FC,8,31,31,14.3,5.9,2.7,6.6,41.3,0.0,0.6,5.3,0.4,0.4,84.6,6.9,1.4,2.4,0.3,0.9,0.3,0.3,-4.2,1,0,1,24.2,43.0,41.5
Shane Goodwin,Atlanta Talons,PG,R,31,10,13.0,11.8,5.3,9.2,57.4,0.8,2.1,39.4,0.5,0.6,77.8,0.8,0.2,4.2,0.3,0.1,0.6,0.6,-1.5,0,0,1,38.7,62.7,62.0
Ed Brady,Atlanta Talons,F,3,26,0,9.0,4.8,2.1,4.5,45.8,0.3,0.8,40.9,0.3,0.7,47.4,4.2,1.0,3.3,0.5,0.5,0.3,0.3,0.3,0,0,0,36.9,49.9,49.6
Horace Allen,Atlanta Talons,C,14,31,0,9.2,4.7,2.2,4.4,48.9,0.2,0.6,25.0,0.2,0.3,66.7,4.0,0.5,1.9,0.2,0.5,0.3,0.2,0.4,0,0,0,29.0,51.4,50.7
Mitchell Hammond,Atlanta Talons,F,2,31,0,9.2,5.7,2.6,4.8,54.0,0.2,0.6,25.0,0.3,0.4,83.3,2.1,0.4,0.2,0.3,0.7,0.2,0.3,0.4,0,0,0,25.0,57.0,55.7
Jimmie Shepherd,Atlanta Talons,F,2,14,0,4.3,4.3,2.1,2.9,73.2,0.0,0.0,-,0.0,0.0,-,1.0,0.2,0.1,0.0,0.2,0.1,0.1,0.4,0,0,0,41.5,73.2,73.2
Todd Bridges,Atlanta Talons,FC,R,11,0,1.6,0.7,0.4,0.8,44.4,0.0,0.1,0.0,0.0,0.0,-,1.0,0.3,0.1,0.0,0.1,0.0,0.0,1.9,0,0,0,25.7,44.4,44.4
Connor Calvert,Atlanta Talons,GF,R,31,0,3.9,2.5,1.0,1.6,62.0,0.2,0.4,46.2,0.3,0.3,100,0.5,0.0,0.0,0.1,0.2,0.1,0.2,0.4,0,0,0,23.2,71.0,68.0
Christopher Dennis,Atlanta Talons,GF,2,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Dana Wall,Atlanta Talons,PF,1,2,0,1.6,1.0,0.5,1.0,50.0,0.0,0.0,-,0.0,0.0,-,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,48.0,50.0,50.0
Everett McGuire,Atlanta Talons,C,1,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Carl Joseph,Boston Charms,PG,19,31,31,14.4,14.1,5.8,9.3,62.5,1.8,2.9,62.6,0.6,0.6,100,2.9,0.5,7.5,1.4,0.5,0.5,0.8,2.3,6,0,5,58.5,73.6,72.4
Jordan Covington,Boston Charms,G,16,31,31,15.2,22.8,9.8,12.6,77.7,2.4,3.7,64.3,0.8,0.8,100,2.8,0.6,0.3,0.8,0.5,0.6,1.3,2.4,0,0,7,62.1,87.9,87.2
Tanner Smith,Boston Charms,SF,12,31,0,11.5,8.5,3.4,6.6,52.0,0.9,2.1,42.2,0.7,0.7,100,3.4,0.2,0.2,0.9,0.9,0.5,0.4,2.6,0,0,0,31.6,61.2,58.6
Jalen Hensley,Boston Charms,F,11,27,27,17.4,13.5,6.0,11.3,52.6,1.0,2.7,37.8,0.6,0.6,88.2,4.4,1.1,8.5,0.9,1.4,0.4,1.2,1.3,9,1,7,45.8,58.2,57.2
Zacharius Casper,Boston Charms,C,2,31,26,11.7,7.1,3.4,6.2,54.2,0.1,0.5,25.0,0.3,0.5,57.1,4.0,0.6,2.2,0.4,0.5,0.3,0.3,0.2,1,0,0,31.1,55.5,55.2
Tanner Ross,Boston Charms,FC,8,31,31,14.5,10.2,4.7,9.1,52.3,0.2,1.2,16.7,0.5,0.6,84.2,4.8,1.1,2.7,0.7,0.8,0.6,0.9,2.3,0,0,1,32.6,54.6,53.4
Milton Roberson,Boston Charms,GF,10,31,4,9.7,10.7,4.4,6.8,64.2,1.4,2.4,58.7,0.5,0.5,100,1.7,0.4,0.6,0.5,0.4,0.5,0.6,1.6,0,0,0,44.7,75.8,74.5
Edgar Frazier,Boston Charms,G,R,31,0,8.2,4.6,1.9,3.8,50.4,0.5,1.2,41.7,0.2,0.4,63.6,1.0,0.1,0.1,0.5,0.1,0.3,0.5,0.2,0,0,0,16.9,57.3,56.7
Alex Conley,Boston Charms,SF,2,30,0,1.5,0.6,0.3,0.8,34.8,0.0,0.2,16.7,0.0,0.0,-,0.2,0.0,0.0,0.0,0.1,0.1,0.1,-0.1,0,0,0,4.8,37.0,37.0
Chris Washington,Boston Charms,FC,10,31,5,16.0,11.2,5.5,9.5,57.7,0.2,1.0,16.1,0.1,0.4,30.8,6.9,1.3,2.9,0.4,1.4,0.3,0.6,3.2,3,0,1,36.7,58.1,58.5
