Player Name,Team,Position,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,PF,TO,+/-,DD,TD,POTG,PER,TS%,EFG%
Braydon Howe,Atlanta Talons,PG,2,31,31,17.0,11.1,4.6,9.5,48.5,1.4,3.1,44.3,0.6,0.7,85.7,2.0,0.8,6.9,1.1,0.3,0.6,0.9,-2.3,2,0,3,35.3,57.1,55.8
Kurt Holt,Atlanta Talons,GF,10,27,27,15.1,16.6,7.0,10.2,68.8,1.9,2.8,65.8,0.6,0.6,100,2.2,0.4,0.3,0.7,0.6,0.3,0.9,0.6,0,0,2,43.8,78.8,77.9
Damon Holiday,Atlanta Talons,F,6,31,31,18.1,10.4,4.6,8.9,51.4,0.5,1.7,32.1,0.7,0.8,91.7,4.8,0.9,3.7,1.2,1.5,0.3,0.5,-1.6,0,0,1,32.8,56.4,54.5
Tyrell Morgan,Atlanta Talons,F,13,31,31,17.3,10.8,4.8,9.6,50.2,0.8,2.7,30.1,0.4,0.6,63.2,5.2,1.4,3.6,0.8,1.0,0.5,0.8,-1.5,1,0,4,32.0,54.9,54.4
Karl Combs,Atlanta Talons,C,8,31,30,15.5,7.2,3.4,6.5,51.7,0.2,1.0,15.6,0.3,0.5,60.0,4.8,0.7,3.1,0.5,0.8,0.4,0.3,-1.8,0,0,1,26.7,53.5,53.0
Claude Curry,Atlanta Talons,GF,8,31,4,12.0,8.9,3.8,7.1,53.4,0.6,1.6,36.0,0.7,0.7,100,2.4,0.4,0.8,0.5,0.7,0.2,0.7,-3.9,0,0,0,28.8,60.0,57.5
Dean Tucker,Atlanta Talons,FC,13,31,1,8.6,4.4,2.1,4.4,48.5,0.0,0.5,0.0,0.1,0.3,33.3,3.6,0.7,1.8,0.2,0.7,0.1,0.3,-1.2,1,0,0,29.4,48.2,48.5
Corey Phelps,Atlanta Talons,F,7,24,0,6.1,3.4,1.6,3.4,47.6,0.0,0.3,14.3,0.1,0.1,100,1.7,0.8,0.9,0.3,0.2,0.1,0.4,-1.1,0,0,0,24.1,48.9,48.2
Corey Christopher,Atlanta Talons,SF,5,30,0,6.3,3.3,1.4,3.2,44.2,0.3,0.8,39.1,0.2,0.2,85.7,0.8,0.1,0.1,0.2,0.2,0.2,0.1,-1.3,0,0,0,16.5,50.5,48.9
Jon Obrien,Atlanta Talons,F,4,6,0,6.1,2.2,1.0,3.2,31.6,0.2,0.7,25.0,0.0,0.0,-,1.5,0.2,1.2,0.2,0.7,0.5,0.5,-2.0,0,0,0,12.3,34.2,34.2
