Player Name,Team,Position,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,PF,TO,+/-,DD,TD,POTG,PER,TS%,EFG%
Jalen King,Atlanta Talons,G,8,29,29,15.5,9.0,3.6,8.0,45.0,1.2,2.9,41.2,0.6,0.6,100,3.0,0.6,7.0,1.3,0.4,0.6,0.7,0.3,3,0,3,36.6,54.6,52.6
Brandon Heath,Atlanta Talons,G,R,10,0,1.6,0.8,0.3,0.9,33.3,0.1,0.3,33.3,0.1,0.1,100,0.1,0.0,0.0,0.0,0.0,0.1,0.0,2.2,0,0,0,7.3,42.4,38.9
Caleb White,Atlanta Talons,F,6,29,29,17.9,16.5,8.0,11.5,69.5,0.2,1.1,15.2,0.3,0.6,62.5,7.1,1.0,2.6,0.8,1.3,0.5,1.0,7.0,7,0,8,45.8,70.2,70.2
Eric Stevens,Atlanta Talons,PF,2,10,0,1.6,0.4,0.2,0.4,50.0,0.0,0.0,-,0.0,0.1,0.0,0.4,0.1,0.3,0.1,0.2,0.0,0.0,2.2,0,0,0,24.1,45.0,50.0
Horace Allen,Atlanta Talons,C,7,29,24,13.9,7.7,3.6,6.0,58.9,0.1,0.4,27.3,0.5,0.8,62.5,4.8,1.1,3.4,0.5,1.6,0.1,0.2,6.9,0,0,0,37.6,60.4,59.7
De’Aaron Jackson,Atlanta Talons,F,7,29,1,9.8,9.6,3.8,6.7,57.2,1.1,2.4,47.1,0.8,0.8,100,1.7,0.3,0.2,0.1,0.3,0.5,0.6,1.0,0,0,0,33.4,68.0,65.7
Emmius One,Atlanta Talons,G,8,29,10,15.5,13.3,5.4,9.6,56.5,1.9,3.3,57.9,0.6,0.6,100,2.9,0.6,6.2,1.5,0.5,0.3,0.7,6.1,1,0,3,48.8,67.7,66.4
Bart Jett,Atlanta Talons,C,8,29,5,10.2,5.1,2.4,5.1,48.0,0.2,0.9,19.2,0.1,0.2,40.0,3.4,0.6,0.7,0.3,0.9,0.3,0.3,0.7,0,0,0,23.0,49.6,49.7
Ron Mathews,Atlanta Talons,F,3,29,0,6.3,3.2,1.4,3.0,48.8,0.1,0.7,15.8,0.2,0.4,63.6,2.7,0.7,2.0,0.2,0.6,0.1,0.2,1.0,0,0,0,35.5,51.7,50.6
Jon Rahm,Atlanta Talons,G,12,29,19,14.7,13.9,5.3,8.2,64.0,2.5,3.8,65.8,0.8,0.8,100,2.0,0.3,6.6,0.8,0.4,0.3,0.8,6.4,3,0,3,52.9,80.7,79.3
Shawn Allen,Atlanta Talons,SG,2,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
William Harris,Atlanta Talons,GF,4,29,28,15.4,15.8,6.8,10.6,63.8,1.4,3.2,44.7,0.8,0.9,92.3,2.4,0.3,0.4,0.6,0.6,0.4,0.7,7.1,0,0,5,39.5,71.9,70.7
Dwight Green,Atlanta Talons,GF,R,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Jack Harper,Atlanta Talons,GF,1,1,0,1.1,0.0,0.0,2.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,-73.5,0.0,0.0
Ernest Hill,Atlanta Talons,SG,1,0,0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
Carl Joseph,Boston Charms,PG,12,29,29,15.4,18.7,7.7,10.0,76.6,2.8,3.7,75.7,0.5,0.5,100,3.8,0.6,8.1,1.3,0.7,0.3,1.0,7.6,7,0,13,72.9,91.0,90.5
Jordan Covington,Boston Charms,G,9,29,29,19.3,27.0,11.1,15.6,71.4,3.2,5.0,64.6,1.6,1.6,100,2.4,0.6,0.4,0.7,0.3,0.6,1.4,7.3,0,0,8,54.1,83.1,81.7
W.R Asher,Boston Charms,F,9,29,27,13.1,7.3,3.0,5.8,52.1,0.6,1.9,33.3,0.7,0.7,95.0,5.4,0.6,1.1,0.5,1.0,0.6,0.6,6.4,1,0,0,28.2,59.9,57.4
Jalen Hensley,Boston Charms,F,4,29,29,13.7,7.4,3.1,6.8,46.2,0.4,1.6,25.5,0.8,1.0,73.3,2.7,0.9,3.8,0.6,0.7,0.3,0.8,6.4,0,0,0,27.9,51.4,49.2
Elijah Rose,Boston Charms,C,9,29,29,13.2,9.5,4.2,7.5,55.8,0.7,1.8,37.7,0.5,0.8,60.9,4.0,0.5,0.4,0.2,0.7,0.4,0.5,6.3,0,0,0,28.2,60.8,60.4
Chris Washington,Boston Charms,FC,3,26,0,10.1,6.3,3.0,5.2,59.0,0.0,0.2,20.0,0.2,0.2,80.0,3.4,0.7,1.7,0.3,0.9,0.3,0.2,3.8,1,0,0,33.7,59.8,59.3
Jason Garcia,Boston Charms,G,12,29,0,11.9,8.0,3.0,5.8,51.5,1.2,2.7,46.8,0.9,0.9,100,2.0,0.2,4.4,0.8,0.3,0.3,0.6,3.1,0,0,0,39.1,65.4,62.3
Tanner Ross,Boston Charms,FC,1,29,0,7.7,2.8,1.3,2.8,46.3,0.1,0.2,42.9,0.0,0.1,33.3,2.3,0.5,0.2,0.4,0.4,0.2,0.2,2.2,0,0,0,17.1,48.0,48.2
Pres Manu,Boston Charms,F,9,29,2,11.5,6.2,2.4,6.0,39.9,1.0,2.3,41.8,0.4,0.4,100,3.3,0.4,0.9,0.4,0.9,0.2,0.4,2.8,0,0,0,23.0,50.1,48.0
